HospitalName,City,State,HospitalOwner,Condition,MeasureCode,MeasureName,Score,Sample,EmergencyService
hartselle medical center,hartselle,al,proprietary,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,12,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,51,yes
crenshaw community hospital,luverne,al,government - federal,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,0,5,yes
univ of south alabama medical center,mobile,al,government - state,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,45,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,77,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,0.99,93,yes
st vincents blount,oneonta,al,voluntary non-profit - private,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,0.43,7,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,101,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,8,no
dale medical center,ozark,al,government - hospital district or authority,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,0.94,32,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,0.96,27,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,41,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,12,no
community hospital inc,tallassee,al,voluntary non-profit - private,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,9,yes
southwest alabama medical center,thomasville,al,government - federal,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,0.88,17,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,0.97,38,yes
wedowee hospital,wedowee,al,government - local,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,2,no
northwest medical center,winfield,al,proprietary,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1,14,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.97,235,yes
alaska regional hospital,anchorage,ak,proprietary,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.97,37,yes
andalusia regional hospital,andalusia,al,proprietary,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,1,77,no
stringfellow memorial hospital,anniston,al,proprietary,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.97,110,yes
st vincents east,birmingham,al,voluntary non-profit - private,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.87,125,yes
university of alabama hospital,birmingham,al,government - state,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.74,247,yes
callahan eye foundation hospital,birmingham,al,voluntary non-profit - private,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0,0,yes
marshall medical center south,boaz,al,government - hospital district or authority,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.97,172,yes
cherokee medical center,centre,al,voluntary non-profit - private,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.93,44,yes
chilton medical center,clanton,al,voluntary non-profit - private,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.89,47,yes
cullman regional medical center,cullman,al,government - hospital district or authority,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,1,155,yes
flowers hospital,dothan,al,proprietary,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,1,166,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.93,191,yes
elba general hospital,elba,al,voluntary non-profit - other,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,1,31,yes
medical center enterprise,enterprise,al,proprietary,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,1,72,yes
fayette medical center,fayette,al,voluntary non-profit - other,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.45,117,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.9,174,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.97,69,yes
riverview regional medical center,gadsden,al,proprietary,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.99,239,yes
gadsden regional medical center,gadsden,al,proprietary,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.96,255,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.9,39,yes
marshall medical center north,guntersville,al,government - hospital district or authority,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.87,128,yes
marion regional medical center,hamilton,al,voluntary non-profit - private,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.96,101,yes
hartselle medical center,hartselle,al,proprietary,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.98,44,yes
crenshaw community hospital,luverne,al,government - federal,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.25,16,yes
univ of south alabama medical center,mobile,al,government - state,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.71,7,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.85,243,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.94,99,yes
st vincents blount,oneonta,al,voluntary non-profit - private,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.74,92,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.92,114,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.87,85,no
dale medical center,ozark,al,government - hospital district or authority,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.85,80,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.94,116,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.89,150,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.93,69,no
community hospital inc,tallassee,al,voluntary non-profit - private,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.87,70,yes
southwest alabama medical center,thomasville,al,government - federal,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.92,25,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.8,55,yes
wedowee hospital,wedowee,al,government - local,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.25,28,no
northwest medical center,winfield,al,proprietary,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.91,66,yes
alaska regional hospital,anchorage,ak,proprietary,heart failure,hf-1,heart failure patients given discharge instructions,0.91 ,57 ,yes
alaska regional hospital,anchorage,ak,proprietary,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,0.98 ,61 ,yes
alaska regional hospital,anchorage,ak,proprietary,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,33 ,yes
alaska regional hospital,anchorage,ak,proprietary,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,1.00 ,13 ,yes
alaska regional hospital,anchorage,ak,proprietary,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,0.97 ,37 ,yes
alaska regional hospital,anchorage,ak,proprietary,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,1.00 ,47 ,yes
alaska regional hospital,anchorage,ak,proprietary,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,0.96 ,26 ,yes
alaska regional hospital,anchorage,ak,proprietary,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,0.97 ,39 ,yes
alaska regional hospital,anchorage,ak,proprietary,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),0.95 ,22 ,yes
alaska regional hospital,anchorage,ak,proprietary,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,0.90 ,29 ,yes
alaska regional hospital,anchorage,ak,proprietary,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,0.87 ,106 ,yes
alaska regional hospital,anchorage,ak,proprietary,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,0.96 ,513 ,yes
alaska regional hospital,anchorage,ak,proprietary,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,0.98 ,521 ,yes
alaska regional hospital,anchorage,ak,proprietary,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),0.88 ,499 ,yes
alaska regional hospital,anchorage,ak,proprietary,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0.94 ,146 ,yes
alaska regional hospital,anchorage,ak,proprietary,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),1.00 ,690 ,yes
alaska regional hospital,anchorage,ak,proprietary,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,0.94 ,226 ,yes
alaska regional hospital,anchorage,ak,proprietary,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,0.94 ,223 ,yes
hartselle medical center,hartselle,al,proprietary,heart attack,ami-1,heart attack patients given aspirin at arrival,1.00 ,6 ,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,1.00 ,8 ,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart attack,ami-1,heart attack patients given aspirin at arrival,1.00 ,46 ,yes
northwest medical center,winfield,al,proprietary,heart attack,ami-1,heart attack patients given aspirin at arrival,1.00 ,10 ,yes
dale medical center,ozark,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,1.00 ,11 ,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart attack,ami-1,heart attack patients given aspirin at arrival,1.00 ,134 ,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,1.00 ,51 ,yes
andalusia regional hospital,andalusia,al,proprietary,heart attack,ami-1,heart attack patients given aspirin at arrival,1.00 ,8 ,no
chilton medical center,clanton,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,1.00 ,1 ,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart attack,ami-1,heart attack patients given aspirin at arrival,1.00 ,18 ,yes
riverview regional medical center,gadsden,al,proprietary,heart attack,ami-1,heart attack patients given aspirin at arrival,1.00 ,126 ,yes
medical center enterprise,enterprise,al,proprietary,heart attack,ami-1,heart attack patients given aspirin at arrival,1.00 ,4 ,yes
st vincents blount,oneonta,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,1.00 ,7 ,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,0.99 ,240 ,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart attack,ami-1,heart attack patients given aspirin at arrival,0.99 ,179 ,yes
univ of south alabama medical center,mobile,al,government - state,heart attack,ami-1,heart attack patients given aspirin at arrival,0.99 ,86 ,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,0.98 ,270 ,yes
stringfellow memorial hospital,anniston,al,proprietary,heart attack,ami-1,heart attack patients given aspirin at arrival,0.98 ,81 ,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,0.98 ,185 ,yes
university of alabama hospital,birmingham,al,government - state,heart attack,ami-1,heart attack patients given aspirin at arrival,0.98 ,229 ,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,0.98 ,155 ,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,0.97 ,33 ,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart attack,ami-1,heart attack patients given aspirin at arrival,0.97 ,159 ,yes
st vincents hospital,birmingham,al,voluntary non-profit - other,heart attack,ami-1,heart attack patients given aspirin at arrival,0.97 ,239 ,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,0.95 ,111 ,yes
gadsden regional medical center,gadsden,al,proprietary,heart attack,ami-1,heart attack patients given aspirin at arrival,0.94 ,123 ,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart attack,ami-1,heart attack patients given aspirin at arrival,0.92 ,24 ,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart attack,ami-1,heart attack patients given aspirin at arrival,0.90 ,10 ,no
marshall medical center south,boaz,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,0.80 ,20 ,yes
community hospital inc,tallassee,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,0.77 ,13 ,no
marion regional medical center,hamilton,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,0.67 ,3 ,yes
mizell memorial hospital,opp,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,0.60 ,5 ,no
georgiana hospital,georgiana,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,0.53 ,19 ,no
wedowee hospital,wedowee,al,government - local,heart attack,ami-1,heart attack patients given aspirin at arrival,0.50 ,4 ,no
crenshaw community hospital,luverne,al,government - federal,heart attack,ami-1,heart attack patients given aspirin at arrival,0.00 ,1 ,yes
crenshaw community hospital,luverne,al,government - federal,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,1 ,yes
hartselle medical center,hartselle,al,proprietary,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,1 ,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,6 ,yes
northwest medical center,winfield,al,proprietary,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,7 ,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,4 ,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,3 ,no
dale medical center,ozark,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,5 ,yes
cherokee medical center,centre,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,1 ,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,282 ,yes
community hospital inc,tallassee,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,4 ,no
cullman regional medical center,cullman,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,26 ,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,323 ,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,1 ,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,12 ,yes
riverview regional medical center,gadsden,al,proprietary,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,145 ,yes
medical center enterprise,enterprise,al,proprietary,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,1 ,yes
st vincents blount,oneonta,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,1.00 ,2 ,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,0.99 ,516 ,yes
gadsden regional medical center,gadsden,al,proprietary,heart attack,ami-2,heart attack patients given aspirin at discharge,0.99 ,134 ,yes
st vincents hospital,birmingham,al,voluntary non-profit - other,heart attack,ami-2,heart attack patients given aspirin at discharge,0.98 ,260 ,yes
university of alabama hospital,birmingham,al,government - state,heart attack,ami-2,heart attack patients given aspirin at discharge,0.98 ,316 ,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart attack,ami-2,heart attack patients given aspirin at discharge,0.97 ,208 ,yes
univ of south alabama medical center,mobile,al,government - state,heart attack,ami-2,heart attack patients given aspirin at discharge,0.97 ,91 ,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,0.97 ,290 ,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart attack,ami-2,heart attack patients given aspirin at discharge,0.96 ,247 ,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,0.96 ,295 ,yes
stringfellow memorial hospital,anniston,al,proprietary,heart attack,ami-2,heart attack patients given aspirin at discharge,0.96 ,73 ,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart attack,ami-2,heart attack patients given aspirin at discharge,0.95 ,39 ,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,0.92 ,13 ,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,0.92 ,165 ,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart attack,ami-2,heart attack patients given aspirin at discharge,0.90 ,10 ,yes
wedowee hospital,wedowee,al,government - local,heart attack,ami-2,heart attack patients given aspirin at discharge,0.67 ,3 ,no
marion regional medical center,hamilton,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,0.67 ,3 ,yes
marshall medical center south,boaz,al,government - hospital district or authority,heart attack,ami-2,heart attack patients given aspirin at discharge,0.60 ,5 ,yes
andalusia regional hospital,andalusia,al,proprietary,heart attack,ami-2,heart attack patients given aspirin at discharge,0.60 ,5 ,no
mizell memorial hospital,opp,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,0.50 ,2 ,no
georgiana hospital,georgiana,al,voluntary non-profit - private,heart attack,ami-2,heart attack patients given aspirin at discharge,0.50 ,16 ,no
marshall medical center south,boaz,al,government - hospital district or authority,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,2 ,yes
hartselle medical center,hartselle,al,proprietary,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,1 ,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,30 ,yes
northwest medical center,winfield,al,proprietary,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,2 ,yes
univ of south alabama medical center,mobile,al,government - state,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,22 ,yes
coosa valley medical center,sylacauga,al,voluntary non-profit - other,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,1 ,no
baptist medical center south,montgomery,al,voluntary non-profit - church,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,53 ,yes
g h lanier memorial hospital,valley,al,voluntary non-profit - other,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,1 ,yes
community hospital inc,tallassee,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,1 ,no
andalusia regional hospital,andalusia,al,proprietary,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,3 ,no
chilton medical center,clanton,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,1 ,yes
marion regional medical center,hamilton,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,1 ,yes
riverview regional medical center,gadsden,al,proprietary,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,25 ,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,1 ,no
st vincents blount,oneonta,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1.00 ,2 ,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.97 ,77 ,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.96 ,71 ,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.93 ,43 ,yes
stringfellow memorial hospital,anniston,al,proprietary,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.93 ,14 ,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.93 ,72 ,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.91 ,70 ,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.91 ,11 ,yes
university of alabama hospital,birmingham,al,government - state,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.91 ,87 ,yes
gadsden regional medical center,gadsden,al,proprietary,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.89 ,18 ,yes
st vincents hospital,birmingham,al,voluntary non-profit - other,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.85 ,41 ,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.79 ,24 ,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.75 ,4 ,yes
prattville baptist hospital,prattville,al,voluntary non-profit - private,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.67 ,3 ,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.67 ,3 ,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.50 ,2 ,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0.00 ,1 ,yes
helen keller memorial hospital,sheffield,al,government - hospital district or authority,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,4 ,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,244 ,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,103 ,yes
hartselle medical center,hartselle,al,proprietary,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,2 ,yes
marshall medical center north,guntersville,al,government - hospital district or authority,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,2 ,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,131 ,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,14 ,yes
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,98 ,yes
stringfellow memorial hospital,anniston,al,proprietary,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,29 ,yes
st vincents hospital,birmingham,al,voluntary non-profit - other,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,63 ,yes
northwest medical center,winfield,al,proprietary,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,1 ,yes
univ of south alabama medical center,mobile,al,government - state,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,58 ,yes
dale medical center,ozark,al,government - hospital district or authority,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,3 ,yes
baptist medical center south,montgomery,al,voluntary non-profit - church,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,119 ,yes
east alabama medical center and snf,opelika,al,government - hospital district or authority,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,122 ,yes
university of alabama hospital,birmingham,al,government - state,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,147 ,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,3 ,yes
huntsville hospital,huntsville,al,government - hospital district or authority,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,135 ,yes
gadsden regional medical center,gadsden,al,proprietary,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,79 ,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,1 ,yes
riverview regional medical center,gadsden,al,proprietary,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,1.00 ,68 ,yes
jackson hospital & clinic inc,montgomery,al,voluntary non-profit - private,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,0.97 ,65 ,yes
